Game Number,Video Link,Winner,Map Name,"Players, Roles and Tasks","Players, Roles and Tasks"
11,https://www.youtube.com/watch?v=7rXSXZLZNu0&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=249s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Dream - Crewmate,Pewdiepie - Crewmate,JackSepticEye - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Imposter
Ethan - Crewmate
Harry - Crewmate
JJ - Imposter
Dream - Crewmate
Pewdiepie - Crewmate
JackSepticEye - Crewmate"
12,https://www.youtube.com/watch?v=8A3eWH8-nxE&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=7,Crewmate,Polus,"Simon - Crewmate,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,JJ - Crewmate,Randolph - Imposter,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Imposter
Tobi - Crewmate
Ethan - Crewmate
JJ - Crewmate
Randolph - Imposter
Lachlan - Crewmate
Lazarbeam - Crewmate
Fresh - Crewmate"
13,https://www.youtube.com/watch?v=8A3eWH8-nxE&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=404s,Imposter,Polus,"Simon - Imposter,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,JJ - Crewmate,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate","Simon - Imposter
Josh - Crewmate
Vik - Crewmate
Tobi - Imposter
Ethan - Crewmate
JJ - Crewmate
Randolph - Crewmate
Lachlan - Crewmate
Lazarbeam - Crewmate
Fresh - Crewmate"
14,https://www.youtube.com/watch?v=8A3eWH8-nxE&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=600s,Crewmate,Polus,"Simon - Imposter,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,JJ - Crewmate,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate","Simon - Imposter
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
JJ - Crewmate
Randolph - Crewmate
Lachlan - Crewmate
Lazarbeam - Crewmate
Fresh - Crewmate"
15,https://www.youtube.com/watch?v=3haxqXV_bmU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=8,Crewmate,Polus,"Simon - Imposter,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,JJ - Imposter,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate","Simon - Imposter
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
JJ - Imposter
Randolph - Crewmate
Lachlan - Crewmate
Lazarbeam - Crewmate
Fresh - Crewmate"
16,https://www.youtube.com/watch?v=3haxqXV_bmU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=529s,Imposter,Polus,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,JJ - Imposter,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
JJ - Imposter
Randolph - Crewmate
Lachlan - Crewmate
Lazarbeam - Crewmate
Fresh - Crewmate"
17,https://www.youtube.com/watch?v=-7OQMT_8FCo&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=9,Imposter,Polus,"Simon - Imposter,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,JJ - Crewmate,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate","Simon - Imposter
Josh - Crewmate
Vik - Imposter
Tobi - Crewmate
Ethan - Crewmate
JJ - Crewmate
Randolph - Crewmate
Lachlan - Crewmate
Lazarbeam - Crewmate
Fresh - Crewmate"
18,https://www.youtube.com/watch?v=-7OQMT_8FCo&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=171s,Imposter,Polus,"Simon - Imposter,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,JJ - Crewmate,Randolph - Imposter,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate","Simon - Imposter
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
JJ - Crewmate
Randolph - Imposter
Lachlan - Crewmate
Lazarbeam - Crewmate
Fresh - Crewmate"
19,https://www.youtube.com/watch?v=-7OQMT_8FCo&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=354s,Imposter,Polus,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Imposter,JJ - Crewmate,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Imposter
Ethan - Imposter
JJ - Crewmate
Randolph - Crewmate
Lachlan - Crewmate
Lazarbeam - Crewmate
Fresh - Crewmate"
20,https://www.youtube.com/watch?v=Vz3ZF20nr2c&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=10,Imposter,Polus,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,JJ - Imposter,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Imposter,Fresh - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
JJ - Imposter
Randolph - Crewmate
Lachlan - Crewmate
Lazarbeam - Imposter
Fresh - Crewmate"
21,https://www.youtube.com/watch?v=Vz3ZF20nr2c&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=411s,Imposter,Polus,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,JJ - Crewmate,Randolph - Crewmate,Lachlan - Imposter,Lazarbeam - Crewmate,Fresh - Imposter","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
JJ - Crewmate
Randolph - Crewmate
Lachlan - Imposter
Lazarbeam - Crewmate
Fresh - Imposter"
22,https://www.youtube.com/watch?v=B7_YabsRU3Y&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=11,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Crewmate,Chandler - Crewmate,Karl - Crewmate,MrBeast - Imposter","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Imposter
JJ - Crewmate
Chandler - Crewmate
Karl - Crewmate
MrBeast - Imposter"
23,https://www.youtube.com/watch?v=B7_YabsRU3Y&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=257s,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Chandler - Crewmate,Karl - Crewmate,MrBeast - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Imposter
Ethan - Crewmate
Harry - Crewmate
JJ - Imposter
Chandler - Crewmate
Karl - Crewmate
MrBeast - Crewmate"
24,https://www.youtube.com/watch?v=B7_YabsRU3Y&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=712s,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Chandler - Imposter,Karl - Crewmate,MrBeast - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Imposter
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Chandler - Imposter
Karl - Crewmate
MrBeast - Crewmate"
25,https://www.youtube.com/watch?v=hMUrj3haZPU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=12,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Chandler - Crewmate,Karl - Crewmate,MrBeast - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Imposter
Chandler - Crewmate
Karl - Crewmate
MrBeast - Crewmate"
26,https://www.youtube.com/watch?v=hMUrj3haZPU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=456s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Chandler - Crewmate,Karl - Crewmate,MrBeast - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Imposter
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Chandler - Crewmate
Karl - Crewmate
MrBeast - Crewmate"
27,https://www.youtube.com/watch?v=hMUrj3haZPU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=836s,Crewmate,The Skeld,"Simon - Imposter,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Chandler - Crewmate,Karl - Crewmate,MrBeast - Imposter","Simon - Imposter
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Chandler - Crewmate
Karl - Crewmate
MrBeast - Imposter"
28,https://www.youtube.com/watch?v=yF-GpeYC548&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=13,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Crewmate,Apex - Imposter,Jarvis - Crewmate,Kay - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Imposter
JJ - Crewmate
Apex - Imposter
Jarvis - Crewmate
Kay - Crewmate"
29,https://www.youtube.com/watch?v=yF-GpeYC548&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=603s,Imposter,The Skeld,"Simon - Imposter,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Crewmate,Apex - Crewmate,Jarvis - Crewmate,Kay - Crewmate","Simon - Imposter
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Imposter
JJ - Crewmate
Apex - Crewmate
Jarvis - Crewmate
Kay - Crewmate"
30,https://www.youtube.com/watch?v=yF-GpeYC548&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=854s,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Apex - Crewmate,Jarvis - Crewmate,Kay - Imposter","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Imposter
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Apex - Crewmate
Jarvis - Crewmate
Kay - Imposter"
31,https://www.youtube.com/watch?v=ZqFy4Je4X8w&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=14,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,Apex - Crewmate,Jarvis - Crewmate,Kay - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Imposter
Tobi - Crewmate
Ethan - Imposter
Harry - Crewmate
JJ - Crewmate
Apex - Crewmate
Jarvis - Crewmate
Kay - Crewmate"
32,https://www.youtube.com/watch?v=ZqFy4Je4X8w&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=338s,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,Apex - Crewmate,Jarvis - Crewmate,Kay - Imposter","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Imposter
Harry - Crewmate
JJ - Crewmate
Apex - Crewmate
Jarvis - Crewmate
Kay - Imposter"
33,https://www.youtube.com/watch?v=ZqFy4Je4X8w&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=541s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Crewmate,Apex - Crewmate,Jarvis - Crewmate,Kay - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Imposter
JJ - Crewmate
Apex - Crewmate
Jarvis - Crewmate
Kay - Crewmate"
34,https://www.youtube.com/watch?v=ZqFy4Je4X8w&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=791s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Apex - Crewmate,Jarvis - Imposter,Kay - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Imposter
Apex - Crewmate
Jarvis - Imposter
Kay - Crewmate"
35,https://www.youtube.com/watch?v=22-67cbKCUU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=15,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Randolph - Crewmate,Calfreezy - Crewmate,Callux - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Imposter
Ethan - Crewmate
Harry - Crewmate
JJ - Imposter
Randolph - Crewmate
Calfreezy - Crewmate
Callux - Crewmate"
36,https://www.youtube.com/watch?v=22-67cbKCUU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=363s,Imposter,The Skeld,"Simon - Imposter,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Randolph - Crewmate,Calfreezy - Crewmate,Callux - Crewmate","Simon - Imposter
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Imposter
Randolph - Crewmate
Calfreezy - Crewmate
Callux - Crewmate"
37,https://www.youtube.com/watch?v=hJ2zT1laqys&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=16,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Crewmate,Randolph - Imposter,Calfreezy - Crewmate,Callux - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Imposter
JJ - Crewmate
Randolph - Imposter
Calfreezy - Crewmate
Callux - Crewmate"
38,https://www.youtube.com/watch?v=hJ2zT1laqys&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=383s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Imposter,Randolph - Crewmate,Calfreezy - Crewmate,Callux - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Imposter
Harry - Crewmate
JJ - Imposter
Randolph - Crewmate
Calfreezy - Crewmate
Callux - Crewmate"
39,https://www.youtube.com/watch?v=ObBlVjyOFKk&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=17,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,Calfreezy - Imposter,Callux - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Imposter
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
Calfreezy - Imposter
Callux - Crewmate"
40,https://www.youtube.com/watch?v=ObBlVjyOFKk&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=565s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,Calfreezy - Imposter,Callux - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
Calfreezy - Imposter
Callux - Crewmate"
41,https://www.youtube.com/watch?v=pJpl1dw0yA0&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=18,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,TommyInnit - Imposter,Tubbo - Crewmate,Wilbur - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Imposter
TommyInnit - Imposter
Tubbo - Crewmate
Wilbur - Crewmate"
42,https://www.youtube.com/watch?v=pJpl1dw0yA0&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=273s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,TommyInnit - Crewmate,Tubbo - Crewmate,Wilbur - Imposter","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Imposter
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
TommyInnit - Crewmate
Tubbo - Crewmate
Wilbur - Imposter"
43,https://www.youtube.com/watch?v=pJpl1dw0yA0&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=847s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,TommyInnit - Imposter,Tubbo - Crewmate,Wilbur - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
TommyInnit - Imposter
Tubbo - Crewmate
Wilbur - Crewmate"
44,https://www.youtube.com/watch?v=pJpl1dw0yA0&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=1215s,Imposter,The Skeld,"Simon - Imposter,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,TommyInnit - Crewmate,Tubbo - Crewmate,Wilbur - Crewmate","Simon - Imposter
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
TommyInnit - Crewmate
Tubbo - Crewmate
Wilbur - Crewmate"
45,https://www.youtube.com/watch?v=OcFpzr7-A-k&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=19,Imposter,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,TommyInnit - Crewmate,Tubbo - Crewmate,Wilbur - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Imposter
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
TommyInnit - Crewmate
Tubbo - Crewmate
Wilbur - Crewmate"
46,https://www.youtube.com/watch?v=OcFpzr7-A-k&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=444s,Crewmate,The Skeld,"Simon - Imposter,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,TommyInnit - Imposter,Tubbo - Crewmate,Wilbur - Crewmate","Simon - Imposter
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
TommyInnit - Imposter
Tubbo - Crewmate
Wilbur - Crewmate"
47,https://www.youtube.com/watch?v=OcFpzr7-A-k&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=838s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,TommyInnit - Crewmate,Tubbo - Crewmate,Wilbur - Imposter","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
TommyInnit - Crewmate
Tubbo - Crewmate
Wilbur - Imposter"
